name,rating,summary,text
VINCENT,4,I like it,A great bargain for the price!
Austine Onserio,5,Skyworth 43”,Worth every penny
Joachim,2,Out of expectation,Poor quality vision
Brian,5,Sykworth TV,Quality product
nahashon,5,i fkn loooooove it,"a very good tv set that is pocket friendly but if you looking for a more ultra hd like 2k and 4k try lg or samsung because its final resoulution for YT is 1080p but overall its the best i'd want, no overheating after a days long of being on and streaming on YT so 100% recommendation"
B.K.,4,Like it,Used it for 3 months now. Its a great tv
Job,4,So far so good,Fantastic product
jamea,4,TV is great.,The voice command is just but a game changer
Sophia,5,skyworth 43inch tv,It's good can't complain
Peter,5,I liked it,Simple remote control n clear images
Boniface,5,quality,Original n quality ????
Tony Alan,5,Very nice though it is small,Very good product
James,5,Excellent,It was exactly what I wanted.. Enjoying the service
Lydiah,5,I LIKE IT,"LIKE IT,EXACTLY WHAT I WANTED"
Fridah,5,Serving me well,Good picture quality
Dennis,5,Quality TV,Its a nice TV with high definition of videos though my the left side on the screen end wasn't properly fixed kindly check before delivery
Rispah,4,serves me well,Blue tooth connectivity not well enhanced
Milly,5,43E3A,"The TV is perfect as per the description, I love it. Also the agent that delivered the TV was patient and helpful with installation."
BRAITON,5,I like it,This screen is super
Malvin,5,I like it,The tv set is well received
Beth,4,I like it,Working normally
NAOMI,5,I like it,Worth the price and it was easy kutengeneza.
Papias,5,I like it,A good buy
Bamito,5,I like it,"Good product, works perfectly and fit for the purpose"
Rose,5,great,Working well
Kelvin,5,Absolutely love it,"Good size, frameless, chromecast and using my phone as a remote ????????."
Cliff,5,perfect,Top notch quality so far so good ❤️ skyworth
DAVID,1,screen quality,"make a wise a decision, the quality of this tv is too poor. its like its resolution is 240p or 360p. dont buy. all other aspect are good. consider hisense, vision tv"
Isaac,5,Amazing product,"Great quality, 
I really loved the product."
MAKEBA,5,the efficiency,Time frame
Leakey,5,Excellent,Just meets my expectations its worth it
Collins,5,just wow,Display
Samwel,5,Better,Good product
RUBI,5,"It is worth every coin, i like it","The TV is working just as it is expected, so far so good."
Lewis,5,I love it,"Fast delivery, the tv of high quality, honestly its more than I expected"
Derick,5,Awesome android smart tv,Good tv the flameless design and super cleae
Amania,5,best,Clear pictures
alfred,5,I like its services,Best onlie shopping mall in Africa????
Jimmy Melita,5,Tv,Its a nice screen????
joyce,5,Review,"Picture quality,just as advertised."
racoon,5,review,As expected
Fred,4,Mixed rating,"Was initiallt disappointed with picture quality till I changed abd deviated from default picture settings. Quality depends on source quality. Hd videos are great, sd might disappoint. Bluetooth and chrome cast features are great."
Ben_G Banks,5,Really liked it. Excellent,Delivery was excellent and on good timing and quality as expected.
Charity,4,comment,It's was awesome arrived before the stated date. Next time let get atlist a tv mount since you know the best
John,5,quality tv,"Great tv, amazing quality"
MG,5,I love it!,Enjoying the entertainment experience
Czar,5,Skyworth 43E3A smart Android TV,"Full HD, Bluetooth Connection, Inbuilt chromecas all working perfectly. Overall amazing product, just as advertized."
Rufers,5,Loved it,"It is the actual product I ordered, the size, clarty and perfect sound ????"
John,4,Product is okay.,Delivered on time.
George,5,Actually pretty good ????,"It's in mint condition, works perfectly well. I've been using it for a week now the experience is fantastic"
Philip,5,Like it,"It's operating well but improve on the delivery, the delay isn't enticing."
Naftali,5,openness and honesty,Jumia is an honest and transparent shopping platform
Miriam,5,perfect,As advertised
Captain,5,I love it,"what i ordered iswhat was delivered, great work"
David,1,I hate it,The product does nor read nor recognizes any external drive.... after returning it you are forced to recollect it.... dont buy from Jumia
martin,5,I love it.,"The TV is so clear showing quality pictures. 
Thanks jumia"
EDWIN,5,good quality,It's ok
Rael,5,Works perfectly,"Received my ordered items in good time , thanks jumuia for this especially the agent Denzel who assisted  in ordering."
Tony,5,I liked the product,just what I ordered
Njeri,5,Video Quality & Audio is amazing !,Totally worth it
Joshua,5,Working Smart,The 43' Inch is a perfect thing. I recommend Skyworth always. Silver and frameless always wins. Thank you foe this
Brian,4,clarity&sound,Generally it's good.  I would recommend it
Isaac,5,skyworth smart tv,The Tv is great I love it. Thank you jumia.
Nicholas,4,great video quality and sound,Free home delivery
EMMAH,5,I LIKED IT,I received exactly what i ordered so far so good
Felix,4,so far its okay but the usb ports are not working,Work on delivery speed
Nimo,5,Worth it,It was delivered in 24hrs and working well. Love that it has Bluetooth.
Rehema,4,Skyworth Tv 43',Thank you for the quick delivery. The product is working perfectly. Thank you Jumia.
NICHOLAS,5,It's awesome,It has a quality sound.
George,5,Everything is great,Perfect 
ouris watson,5,Great product,Quality product i keep ordering from Junia because the keep meeting my expectations
Faith,5,I like it.,It's a good product 
Owiti Charles,5,ORIGINAL ITEM DELIVERED,"Short delivery time,the item I ordered is what was delivered,best quality item. Love it. I thank Anne for guiding me to place the order."
Steve,5,I like the product.,Comes with Google TV too. Huge bargain ????
Bill,5,I like it,Exact as ordered
Maina Ngenyi,5,I love it,Crystal clear images
Patrick,5,Amazing,I have already bought two using my account for my friends. The display is amazing. I has never frustrated.
Kipkemoi,5,value,Quality pictures 
